cheep	A chirp, peep, or squeak, as of a young bird or mouse.
bairn	A child.
crime	Any violation of law, either divine or human; an omission of a duty commanded, or the commission of an act forbidden by law.
croup	An inflammatory affection of the larynx or trachea, accompanied by a hoarse, ringing cough and stridulous, difficult breathing; esp., such an affection when associated with the development of a false membrane in the air passages (also called membranous croup). See False croup, under False, and Diphtheria.
arara	The palm (or great black) cockatoo, of Australia (Microglossus aterrimus).
candy	A weight, at Madras 500 pounds, at Bombay 560 pounds.
glose	See Gloze.
realm	A royal jurisdiction or domain; a region which is under the dominion of a king; a kingdom.
urger	One who urges.
ponty	See Pontee.
styan	See Sty, a boil.
silex	Silica, SiO2 as found in nature, constituting quarz, and most sands and sandstones. See Silica, and Silicic.
angor	Extreme anxiety.
goura	One of several species of large, crested ground pigeons of the genus Goura, inhabiting New Guinea and adjacent islands. The Queen Victoria pigeon (Goura Victoria) and the crowned pigeon (G. coronata) are among the best known species.
mower	One who, or that which, mows; a mowing machine; as, a lawn mower.
maqui	A Chilian shrub (Aristotelia Maqui). Its bark furnishes strings for musical instruments, and a medicinal wine is made from its berries.
atimy	Public disgrace or stigma; infamy; loss of civil rights.
metal	An elementary substance, as sodium, calcium, or copper, whose oxide or hydroxide has basic rather than acid properties, as contrasted with the nonmetals, or metalloids.  No sharp line can be drawn between the metals and nonmetals, and certain elements partake of both acid and basic qualities, as chromium, manganese, bismuth, etc.
scomm	A buffoon.
glave	See Glaive.
guess	An opinion as to anything, formed without sufficient or decisive evidence or grounds; an attempt to hit upon the truth by a random judgment; a conjecture; a surmise.
hight	A variant of Height.
loess	A quaternary deposit, usually consisting of a fine yellowish earth, on the banks of the Rhine and other large rivers.
tuner	One who tunes; especially, one whose occupation is to tune musical instruments.
gripe	Grasp; seizure; fast hold; clutch.
jager	A sharpshooter. See Yager.
kalpa	One of the Brahmanic eons, a period of 4,320,000,000 years. At the end of each Kalpa the world is annihilated.
neddy	A pet name for a donkey.
rebec	An instrument formerly used which somewhat resembled the violin, having three strings, and being played with a bow.
ukase	In Russia, a published proclamation or imperial order, having the force of law.
broad	The broad part of anything; as, the broad of an oar.
fanal	A lighthouse, or the apparatus placed in it for giving light.
minge	A small biting fly; a midge.
feaze	A state of anxious or fretful excitement; worry; vexation.
levin	Lightning.
bogle	A goblin; a specter; a frightful phantom; a bogy; a bugbear.
bandy	A club bent at the lower part for striking a ball at play; a hockey stick.
draco	The Dragon, a northern constellation within which is the north pole of the ecliptic.
dogey	a motherless calf in a range herd of cattle.
kefir	An effervescent liquor like kumiss, made from fermented milk, used as a food and as a medicine in the northern Caucasus.
steal	A handle; a stale, or stele.
shelf	A flat tablet or ledge of any material set horizontally at a distance from the floor, to hold objects of use or ornament.
elops	A genus of fishes. See Saury.
ionic	A verse or meter composed or consisting of Ionic feet.
khaki	Any kind of khaki cloth; hence, a uniform of khaki or, rarely, a soldier clad in khaki. In the United States and British armies khaki or cloth of a very similar color is almost exclusively used for service in the field.
jougs	An iron collar fastened to a wall or post, formerly used in Scotland as a kind of pillory. [Written also juggs.] See Juke.
nouch	An ouch; a jewel.
rhyme	To make rhymes, or verses.
toise	An old measure of length in France, containing six French feet, or about 6.3946 French feet.
trowl	See Troll.
weald	A wood or forest; a wooded land or region; also, an open country; -- often used in place names.
dress	That which is used as the covering or ornament of the body; clothes; garments; habit; apparel.
flirt	A sudden jerk; a quick throw or cast; a darting motion; hence, a jeer.
quack	The cry of the duck, or a sound in imitation of it; a hoarse, quacking noise.
dhony	A Ceylonese boat. See Doni.
farry	A farrow.
fewel	Fuel.
hymar	The wild ass of Persia.
lazar	A person infected with a filthy or pestilential disease; a leper.
regal	A small portable organ, played with one hand, the bellows being worked with the other, -- used in the sixteenth and seventeenth centuries.
vimen	A long, slender, flexible shoot or branch.
bulge	The bilge or protuberant part of a cask.
chafe	Heat excited by friction.
stick	To penetrate with a pointed instrument; to pierce; to stab; hence, to kill by piercing; as, to stick a beast.
targe	A shield or target.
bodge	A botch; a patch.
porta	The foramen of Monro.
snail	Any gastropod having a general resemblance to the true snails, including fresh-water and marine species. See Pond snail, under Pond, and Sea snail.
taira	Same as Tayra.
abode	An omen.
buffo	The comic actor in an opera.
clown	A man of coarse nature and manners; an awkward fellow; an ill-bred person; a boor.
fhlmc	a corporation authorized by Congress to provide a secondary market for residential mortgages.  It is called Freddie Mac in the jargon of the finance industry.
glide	The act or manner of moving smoothly, swiftly, and without labor or obstruction.
grass	Popularly: Herbage; the plants which constitute the food of cattle and other beasts; pasture.
islet	A little island.
cymar	A slight covering; a scarf. See Simar.
faery	Fairy.
glint	A glimpse, glance, or gleam.
karat	the unit of measurement for the proportion of gold in an alloy; 18-karat gold is 75 2.122e-314old; 24-karat gold is pure gold.
shrug	A gesture consisting of drawing up the shoulders, -- a motion usually expressing doubt, indifference, or dislike; -- it is sometimes accompanied by a slight turning of the hands outward or upward.  Such a gesture may be made, as in answering "who knows" to a question, suggesting utter ignorance of an answer and a disinclination to pursue the topic further.
shout	A loud burst of voice or voices; a vehement and sudden outcry, especially of a multitudes expressing joy, triumph, exultation, or animated courage.
sally	A leaping forth; a darting; a spring.
coypu	A South American rodent (Myopotamus coypus), allied to the beaver. It produces a valuable fur called nutria.
divot	A thin, oblong turf used for covering cottages, and also for fuel.
yerba	An herb; a plant.
comet	A member of the solar system which usually moves in an elongated orbit, approaching very near to the sun in its perihelion, and receding to a very great distance from it at its aphelion. A comet commonly consists of three parts: the nucleus, the envelope, or coma, and the tail; but one or more of these parts is frequently wanting. See Illustration in Appendix.
gleed	A live or glowing coal; a glede.
prate	Talk to little purpose; trifling talk; unmeaning loquacity.
pager	A small electronic communication device which signals when a telephone call has been received at a base station.  Each such device receives radio signals from the base station specifically coded for the individual to whom it is registered; the signal given by the device to the registered user may be a beeping sound, indicating that the user should call the base station to receive a message; or it may display a telephone number to which the user may call directly to return the incoming call, or may display a short message.  Such devices are small enough to carry in the pocket or pocketbook, or to clip onto a belt or other part of the clothing.  Also called beeper.
viola	An instrument in form and use resembling the violin, but larger, and a fifth lower in compass.
yamma	The llama.
chimb	The edge of a cask, etc; a chine. See Chine, n., 3.
deeds	performance of moral or religious acts; salvation is not by deeds, but by faith; to do good deeds.
feere	A consort, husband or wife; a companion; a fere.
harpy	A fabulous winged monster, ravenous and filthy, having the face of a woman and the body of a vulture, with long claws, and the face pale with hunger.  Some writers mention two, others three.
skull	The skeleton of the head of a vertebrate animal, including the brain case, or cranium, and the bones and cartilages of the face and mouth. See Illusts. of Carnivora, of Facial angles under Facial, and of Skeleton, in Appendix.
tonne	A metric ton.
zoril	Same as Zorilla.
bague	The annular molding or group of moldings dividing a long shaft or clustered column into two or more parts.
casus	An event; an occurrence; an occasion; a combination of circumstances; a case; an act of God. See the Note under Accident.
caaba	The small and nearly cubical stone building, toward which all Muslims must pray.
salve	To heal by applications or medicaments; to cure by remedial treatment; to apply salve to; as, to salve a wound.
swoop	A falling on and seizing, as the prey of a rapacious bird; the act of swooping.
wight	Weight.
cheer	The face; the countenance or its expression.
fetor	A strong, offensive smell; stench; fetidness.
smart	Quick, pungent, lively pain; a pricking local pain, as the pain from puncture by nettles.
argol	Crude tartar; an acidulous salt from which cream of tartar is prepared. It exists in the juice of grapes, and is deposited from wines on the sides of the casks.
chuck	A piece of the backbone of an animal, from between the neck and the collar bone, with the adjoining parts, cut for cooking; as, a chuck steak; a chuck roast.
crust	To cover with a crust; to cover or line with an incrustation; to incrust.
dryad	A wood nymph; a nymph whose life was bound up with that of her tree.
leach	See Leech, a physician.
querl	A coil; a twirl; as, the qwerl of hair on the fore leg of a blooded horse.
rewle	Rule.
atoll	A coral island or islands, consisting of a belt of coral reef, partly submerged, surrounding a central lagoon or depression; a lagoon island.
curse	An invocation of, or prayer for, harm or injury; malediction.
foyer	A lobby in a theater; a greenroom.
paper	A substance in the form of thin sheets or leaves intended to be written or printed on, or to be used in wrapping.  It is made of rags, straw, bark, wood, or other fibrous material, which is first reduced to pulp, then molded, pressed, and dried.
sapor	Power of affecting the organs of taste; savor; flavor; taste.
wythe	Same as Withe, n., 4.
adorn	Adornment.
croze	A cooper's tool for making the grooves for the heads of casks, etc.; also, the groove itself.
steel	To overlay, point, or edge with steel; as, to steel a razor; to steel an ax.
vaunt	The first part.
crier	an officer who proclaims the orders or directions of a court, or who gives public notice by loud proclamation; as, a town-crier.
heugh	A crag; a cliff; a glen with overhanging sides.
keesh	See Kish.
merry	A kind of wild red cherry.
waver	A sapling left standing in a fallen wood.
atole	A porridge or gruel of maize meal and water, milk, or the like.
bulau	An East Indian insectivorous mammal (Gymnura Rafflesii), somewhat like a rat in appearance, but allied to the hedgehog.
cimia	See Cimbia.
imide	A compound with, or derivative of, the imido group; specif., a compound of one or more acid radicals with the imido group, or with a monamine; hence, also, a derivative of ammonia, in which two atoms of hydrogen have been replaced by divalent basic or acid radicals; -- frequently used as a combining form; as, succinimide.
layia	A genus of Western U. S. annuals with showy yellow or white flowers.
stare	The act of staring; a fixed look with eyes wide open.
stump	The part of a tree or plant remaining in the earth after the stem or trunk is cut off; the stub.
spoke	The radius or ray of a wheel; one of the small bars which are inserted in the hub, or nave, and which serve to support the rim or felly.
tuber	A genus of fungi. See Truffle.
elbow	The joint or bend of the arm; the outer curve in the middle of the arm when bent.
haulm	A part of a harness; a hame.
middy	A colloquial abbreviation of midshipman.
padar	Groats; coarse flour or meal.
tenon	A projecting member left by cutting away the wood around it, and made to insert into a mortise, and in this way secure together the parts of a frame; especially, such a member when it passes entirely through the thickness of the piece in which the mortise is cut, and shows on the other side.  Cf. Tooth, Tusk.
tweed	A soft and flexible fabric for men's wear, made wholly of wool except in some inferior kinds, the wool being dyed, usually in two colors, before weaving.
ursus	A genus of Carnivora including the common bears.
clime	A climate; a tract or region of the earth. See Climate.
chine	The backbone or spine of an animal; the back.
decoy	Anything intended to lead into a snare; a lure that deceives and misleads into danger, or into the power of an enemy; a bait.
grice	See Gree, a step.
payer	One who pays; specifically, the person by whom a bill or note has been, or should be, paid.
riban	See Ribbon.
regma	A kind of dry fruit, consisting of three or more cells, each which at length breaks open at the inner angle.
quran	See Koran.
amyss	Same as Amice, a hood or cape.
cobby	Headstrong; obstinate.
calmy	Tranquil; peaceful; calm.
fleer	A word or look of derision or mockery.
gliff	A transient glance; an unexpected view of something that startles one; a sudden fear.
mains	The source of electrical power in a building; the wiring system of a building.
prest	Ready money; a loan of money.
troop	A collection of people; a company; a number; a multitude.
abbey	A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings.
manor	The land belonging to a lord or nobleman, or so much land as a lord or great personage kept in his own hands, for the use and subsistence of his family.
skeet	A scoop with a long handle, used to wash the sides of a vessel, and formerly to wet the sails or deck.
touse	A pulling; a disturbance.
aurin	A red coloring matter derived from phenol; -- called also, in commerce, yellow corallin.
argil	Clay, or potter's earth; sometimes pure clay, or alumina. See Clay.
charm	To make music upon; to tune.
media	One of the sonant mutes <beta/, <delta/, <gamma/ (b, d, g), in Greek, or of their equivalents in other languages, so named as intermediate between the tenues, <pi/, <tau/, <kappa/ (p, t, k), and the aspiratae  (aspirates) <phi/, <theta/, <chi/ (ph or f, th, ch). Also called middle mute, or medial, and sometimes soft mute.
newel	The upright post about which the steps of a circular staircase wind; hence, in stairs having straight flights, the principal post at the foot of a staircase, or the secondary ones at the landings.  Also called newel post.  See Hollow newel, under Hollow.
royal	Printing and writing papers of particular sizes. See under paper, n.
skute	A boat; a small vessel.
ulema	A college or body composed of the hierarchy (the imams, or ministers of religion, the muftis, or doctors of law, and the cadis, or administrators of justice).  That of Turkey alone now has political power; its head is the sheik ul Islam.
eaves	The edges or lower borders of the roof of a building, which overhang the walls, and cast off the water that falls on the roof.
level	A line or surface to which, at every point, a vertical or plumb line is perpendicular; a line or surface which is everywhere parallel to the surface of still water; -- this is the true level, and is a curve or surface in which all points are equally distant from the center of the earth, or rather would be so if the earth were an exact sphere.
skelp	A wrought-iron plate from which a gun barrel or pipe is made by bending and welding the edges together, and drawing the thick tube thus formed.
butte	A detached low mountain, or high rising abruptly from the general level of the surrounding plain; -- applied to peculiar elevations in the Rocky Mountain region.
bully	A noisy, blustering fellow, more insolent than courageous, who threatens, intimidates, or badgers people who are smaller or weaker than he is; an insolent, tyrannical fellow.
corah	Corah silk.
ergon	same as Erg.
ether	A medium of great elasticity and extreme tenuity, once supposed to pervade all space, the interior of solid bodies not excepted, and to be the medium of transmission of light and heat; hence often called luminiferous ether.  It is no longer believed that such a medium is required for the transmission of electromagnetic waves; the modern use of the term is mostly a figurative term for empty space, or for literary effect, and not intended to imply the actual existence of a physical medium.  However. modern cosmological theories based on quantum field theory do not rule out the possibility that the inherent energy of the vacuum is greater than zero, in which case the concept of an ether pervading the vacuum may have more than metaphoric meaning.
ghazi	Among Muslims, a warrior champion or veteran, esp. in the destruction of infidels.
totem	A rude picture, as of a bird, beast, or the like, used by the North American Indians as a symbolic designation, as of a family or a clan; also, the object or animal itself, considered as an symbol of the family.
tawer	One who taws; a dresser of white leather.
wigan	A kind of canvaslike cotton fabric, used to stiffen and protect the lower part of trousers and of the skirts of women's dresses, etc.; -- so called from Wigan, the name of a town in Lancashire, England.
essay	To exert one's power or faculties upon; to make an effort to perform; to attempt; to endeavor; to make experiment or trial of; to try.
eruca	An insect in the larval state; a caterpillar; a larva.
paint	The same prepared with a vehicle, as oil, water with gum, or the like, for application to a surface.
stack	To lay in a conical or other pile; to make into a large pile; as, to stack hay, cornstalks, or grain; to stack or place wood.
tongo	The mangrove; -- so called in the Pacific Islands.
laund	A plain sprinkled with trees or underbrush; a glade.
prawn	Any one of numerous species of large shrimplike Crustacea having slender legs and long antenn<ae/. They mostly belong to the genera Pandalus, Pal<ae/mon, Pal<ae/monetes, and Peneus, and are much used as food. The common English prawn is Pal<ae/mon serratus.
boult	Corrupted form Bolt.
crypt	A vault wholly or partly under ground; especially, a vault under a church, whether used for burial purposes or for a subterranean chapel or oratory.
cruth	See 4th Crowd.
lodde	The capelin.
tasco	A kind of clay for making melting pots.
thick	The thickest part, or the time when anything is thickest.
uvula	The pendent fleshy lobe in the middle of the posterior border of the soft palate.
dives	The name popularly given to the rich man in our Lord's parable of the <ldquo/Rich Man and Lazarus<rdquo/ (Luke xvi. 19-31). Hence, a name for a rich worldling.
mirza	The common title of honor in Persia, prefixed to the surname of an individual.  When appended to the surname, it signifies Prince.
rhime	See Rhyme.
storm	A violent disturbance of the atmosphere, attended by wind, rain, snow, hail, or thunder and lightning; hence, often, a heavy fall of rain, snow, or hail, whether accompanied with wind or not.
tarry	Stay; stop; delay.
fenks	The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue.
sound	The peceived object occasioned by the impulse or vibration of a material substance affecting the ear; a sensation or perception of the mind received through the ear, and produced by the impulse or vibration of the air or other medium with which the ear is in contact; the effect of an impression made on the organs of hearing by an impulse or vibration of the air caused by a collision of bodies, or by other means; noise; report; as, the sound of a drum; the sound of the human voice; a horrid sound; a charming sound; a sharp, high, or shrill sound.
ankle	The joint which connects the foot with the leg; the tarsus.
cecum	The caecum, the cavity in which the large intestine begins and into which the ileum opens.
lotus	A genus (Lotus) of leguminous plants much resembling clover.
quill	One of the large feathers of a bird's wing, or one of the rectrices of the tail; also, the stock of such a feather.
suint	A peculiar substance obtained from the wool of sheep, consisting largely of potash mixed with fatty and earthy matters. It is used as a source of potash and also for the manufacture of gas.
abada	The rhinoceros.
broom	A plant having twigs suitable for making brooms to sweep with when bound together; esp., the Cytisus scoparius of Western Europe, which is a low shrub with long, straight, green, angular branches, minute leaves, and large yellow flowers.
mitre	See Miter.
orcin	A colorless crystalline substance, C6H3.CH3.(OH)2, which is obtained from certain lichens (Roccella, Lecanora, etc.), also from extract of aloes, and artificially from certain derivatives of toluene.  It changes readily into orcein.
union	The act of uniting or joining two or more things into one, or the state of being united or joined; junction; coalition; combination.
wakif	The person creating a wakf.
crush	A violent collision or compression; a crash; destruction; ruin.
divan	A book; esp., a collection of poems written by one author; as, the divan of Hafiz.
dorse	The Baltic or variable cod (Gadus callarias), by some believed to be the young of the common codfish.
sturk	See Stirk.
harre	A hinge.
light	To set fire to; to cause to burn; to set burning; to ignite; to kindle; as, to light a candle or lamp; to light the gas; -- sometimes with up.
nakoo	The gavial.
doole	Sorrow; dole.
facet	A little face; a small, plane surface; as, the facets of a diamond.
ology	A colloquial or humorous name for any science or branch of knowledge.
flurt	A flirt.
lives	pl. of Life.
scrow	A scroll.
aulic	The ceremony observed in conferring the degree of doctor of divinity in some European universities. It begins by a harangue of the chancellor addressed to the young doctor, who then receives the cap, and presides at the disputation (also called the aulic).
sixty	The sum of six times ten; sixty units or objects.
biped	A two-footed animal, as man.
ottar	See Attar.
rivet	A metallic pin with a head, used for uniting two plates or pieces of material together, by passing it through them and then beating or pressing down the point so that it shall spread out and form a second head; a pin or bolt headed or clinched at both ends.
tonus	Tonicity, or tone; as, muscular tonus.
amess	Amice, a hood or cape. See 2d Amice.
cymry	A collective term for the Welsh race; -- so called by themselves .
irade	A decree of the Sultan.
noter	One who takes notice.
ogive	The arch or rib which crosses a Gothic vault diagonally.
stook	A small collection of sheaves set up in the field; a shock; in England, twelve sheaves.
tithe	A tenth; the tenth part of anything; specifically, the tenthpart of the increase arising from the profits of land and stock, allotted to the clergy for their support, as in England, or devoted to religious or charitable uses. Almost all the tithes of England and Wales are commuted by law into rent charges.
burro	A donkey.
chase	A rectangular iron frame in which pages or columns of type are imposed.
meros	The proximal segment of the hind limb; the thigh.
teine	See Teyne.
oiler	One who deals in oils.
spume	Frothy matter raised on liquids by boiling, effervescence, or agitation; froth; foam; scum.
vairy	Charged with vair; variegated with shield-shaped figures. See Vair.
yucca	A genus of American liliaceous, sometimes arborescent, plants having long, pointed, and often rigid, leaves at the top of a more or less woody stem, and bearing a large panicle of showy white blossoms.
beryl	A mineral of great hardness, and, when transparent, of much beauty. It occurs in hexagonal prisms, commonly of a green or bluish green color, but also yellow, pink, and white. It is a silicate of aluminum and beryllium. The aquamarine is a transparent, sea-green variety used as a gem. The emerald is another variety highly prized in jewelry, and distinguished by its deep color, which is probably due to the presence of a little oxide of chromium.
brose	Pottage made by pouring some boiling liquid on meal (esp. oatmeal), and stirring it. It is called beef brose, water brose, etc., according to the name of the liquid (beef broth, hot water, etc.) used.
gauss	The C.G.S. unit of density of magnetic field, equal to a field of one line of force per square centimeter, being thus adopted as an international unit at Paris in 1900; sometimes used as a unit of intensity of magnetic field. It was previously suggested as a unit of magnetomotive force.
monal	Any Asiatic pheasant of the genus Lophophorus, as the Impeyan pheasant.
savoy	A variety of the common cabbage (Brassica oleracea major), having curled leaves, -- much cultivated for winter use.
alosa	the genus comprising the most common varieties of shad.  It replaces the older term Clupea.  See also shad.
chuet	Minced meat.
drake	Wild oats, brome grass, or darnel grass; -- called also drawk, dravick, and drank.
petto	The breast.
plush	A textile fabric with a nap or shag on one side, longer and softer than the nap of velvet.
aztec	One of the Aztec race or people.
dhole	A fierce, wild dog (Canis Dukhunensis), found in the mountains of India. It is remarkable for its propensity to hunt the tiger and other wild animals in packs.
doris	A genus of nudibranchiate mollusks having a wreath of branchi<ae/ on the back.
guevi	One of several very small species and varieties of African antelopes, of the genus Cephalophus, as the Cape guevi or kleeneboc (Cephalophus pygm<ae/a); -- called also pygmy antelope.
llano	An extensive plain with or without vegetation.
liege	A free and independent person; specif., a lord paramount; a sovereign.
modem	An electronic device that converts electronic signals into sound waves, and sound waves into electronic signals, used to transmit information between computers by the use of ordinary telephone lines; also called modulator-demodulator; as, the latest modems can transmit data at 56,000 baud over a clear telephone line.  The speed of transmission of information by a modem is usually measured in units of baud, equivalent to bits per second.
morph	A sequence of phonemes, often a word fragment, which constitutes the minimum unit of meaning or syntax within a given word.  A morph may be one of several variants of a morpheme, depending for its individal form on the context in which it occurs.  Thus the morphs -s and -es are variants of the morpheme by which the plural form of an English noun is expressed.
quirt	A rawhide whip plaited with two thongs of buffalo hide.
refut	Refuge.
scink	A slunk calf.
smell	The sense or faculty by which certain qualities of bodies are perceived through the instrumentally of the olfactory nerves. See Sense.
shaik	See Sheik.
widdy	A rope or halter made of flexible twigs, or withes, as of birch.
bosun	a petty officer on a merchant ship who controls the work of other seamen; a contraction of boatswain.
cagit	A kind of parrot, of a beautiful green color, found in the Philippine Islands.
poler	An extortioner. See Poller.
sajou	Same as Sapajou.
whurt	See Whort.
beton	The French name for concrete; hence, concrete made after the French fashion.
clomp	See Clamp.
farce	Stuffing, or mixture of viands, like that used on dressing a fowl; forcemeat.
pinch	A close compression, as with the ends of the fingers, or with an instrument; a nip.
prede	Prey; plunder; booty.
slang	Low, vulgar, unauthorized language; a popular but unauthorized word, phrase, or mode of expression; also, the jargon of some particular calling or class in society; low popular cant; as, the slang of the theater, of college, of sailors, etc.
scale	A ladder; a series of steps; a means of ascending.
abdal	A religious devotee or dervish in Persia.
cloop	The sound made when a cork is forcibly drawn from a bottle.
canoe	A boat used by rude nations, formed of trunk of a tree, excavated, by cutting of burning, into a suitable shape. It is propelled by a paddle or paddles, or sometimes by sail, and has no rudder.
pinax	A tablet; a register; hence, a list or scheme inscribed on a tablet.
roger	A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger and pirate flag.
tweer	Same as Tuy<egrave/re.
betel	A species of pepper (Piper betle), the leaves of which are chewed, with the areca or betel nut and a little shell lime, by the inhabitants of the East Indies. It is a woody climber with ovate many-nerved leaves.
fichu	A light cape, usually of lace, worn by women, to cover the neck and throat, and extending to the shoulders.
inset	That which is inserted or set in; an insertion.
mayor	The chief magistrate of a city or borough; the chief administrative officer of a municipal corporation.  In some American cities there is a city court of which the major is chief judge.  The post is usually elective, its holder chosen by the electorate of the entire city.
squad	Sloppy mud.
firms	The principal rafters of a roof, especially a pair of rafters taken together.
lends	Loins.
perry	A sudden squall. See Pirry.
snipe	Any one of numerous species of limicoline game birds of the family Scolopacidae, having a long, slender, nearly straight beak.
freer	One who frees, or sets free.
forge	To form by heating and hammering; to beat into any particular shape, as a metal.
screw	A cylinder, or a cylindrical perforation, having a continuous rib, called the thread, winding round it spirally at a constant inclination, so as to leave a continuous spiral groove between one turn and the next, -- used chiefly for producing, when revolved, motion or pressure in the direction of its axis, by the sliding of the threads of the cylinder in the grooves between the threads of the perforation adapted to it, the former being distinguished as the external, or male screw, or, more usually the screw; the latter as the internal, or female screw, or, more usually, the nut.
lowan	The Australian moundbird (Leipoa ocellata); it incubates eggs naturally in sandy mounds.
murza	One of the hereditary nobility among the Tatars, esp. one of the second class.
pants	A garment extending from the waist to the knee or ankle, covering each leg separately.
plant	To put in the ground and cover, as seed for growth; as, to plant maize.
trope	The word or expression so used.
salad	A preparation of vegetables, as lettuce, celery, water cress, onions, etc., usually dressed with salt, vinegar, oil, and spice, and eaten for giving a relish to other food; as, lettuce salad; tomato salad, etc.
usure	Usury.
boule	A legislative council of elders or chiefs; a senate.
bever	A light repast between meals; a lunch.
larry	Same as Lorry, or Lorrie.
matie	A fat herring with undeveloped roe.
muley	See Mulley.
thief	One who steals; one who commits theft or larceny. See Theft.
bench	A long seat, differing from a stool in its greater length.
bayou	An inlet from the Gulf of Mexico, from a lake, or from a large river, sometimes sluggish, sometimes without perceptible movement except from tide and wind.
eager	Same as Eagre.
leper	A person affected with leprosy.
rugin	A nappy cloth.
shoar	A prop. See 3d Shore.
pluck	The act of plucking; a pull; a twitch.
snake	Any species of the order Ophidia; an ophidian; a serpent, whether harmless or venomous. See Ophidia, and Serpent.
senna	The leaves of several leguminous plants of the genus Cassia. (Cassia acutifolia, Cassia angustifolia, etc.). They constitute a valuable but nauseous cathartic medicine.
bison	The American bison buffalo (Bison Americanus), a large, gregarious bovine quadruped with shaggy mane and short black horns, which formerly roamed in herds over most of the temperate portion of North America, but by 1900 was restricted to very limited districts in the region of the Rocky Mountains, and was almost hunted to extinction.
combe	See Comb.
phial	A glass vessel or bottle, especially a small bottle for medicines; a vial.
crick	A painful, spasmodic affection of the muscles of some part of the body, as of the neck or back, rendering it difficult to move the part.
fluid	A fluid substance; a body whose particles move easily among themselves.
pancy	See pansy.
sough	The sound produced by soughing; a hollow murmur or roaring.
chace	See 3d Chase, n., 3.
tarin	The siskin.
bilin	A name applied to the amorphous or crystalline mass obtained from bile by the action of alcohol and ether. It is composed of a mixture of the sodium salts of the bile acids.
bower	A young hawk, when it begins to leave the nest.
giber	One who utters gibes.
mazer	A large drinking bowl; -- originally made of maple.
tatty	A mat or screen of fibers, as of the kuskus grass, hung at a door or window and kept wet to moisten and cool the air as it enters.
total	The whole; the whole sum or amount; as, these sums added make the grand total of five millions.
aurum	Gold.
etwee	See <Eacute/tui.
eccle	The European green woodpecker; -- also called ecall, eaquall, yaffle.
gypse	See Gypsum.
norie	The cormorant.
sewer	Formerly, an upper servant, or household officer, who set on and removed the dishes at a feast, and who also brought water for the hands of the guests.
mover	A person or thing that moves, stirs, or changes place.
adieu	A farewell; commendation to the care of God at parting.
carat	The weight by which precious stones and pearls are weighed.
gauze	A very thin, slight, transparent stuff, generally of silk; also, any fabric resembling silk gauze; as, wire gauze; cotton gauze.
mahoe	A name given to several malvaceous trees (species of Hibiscus, Ochroma, etc.), and to their strong fibrous inner bark, which is used for strings and cordage.
noria	A large water wheel, turned by the action of a stream against its floats, and carrying at its circumference buckets, by which water is raised and discharged into a trough; used in Arabia, China, and elsewhere for irrigating land; a Persian wheel.
nyala	A spiral-horned South African antelope (Tragelaphus angasi) with a fringe of white hairs along back and neck.
vogue	The way or fashion of people at any particular time; temporary mode, custom, or practice; popular reception for the time; -- used now generally in the phrase in vogue.
negro	A black man; especially, one of a race of black or very dark persons who inhabit the greater part of tropical Africa, and are distinguished by crisped or curly hair, flat noses, and thick protruding lips; also, any black person of unmixed African blood, wherever found.
cruel	See Crewel.
cuffy	A name for a negro.
eosin	A yellow or brownish red dyestuff obtained by the action of bromine on fluoresce<ium/n, and named from the fine rose-red which it imparts to silk. It is also used for making a fine red ink. Its solution is fluorescent.
femme	A woman. See Feme, n.
ghoul	An imaginary evil being among Eastern nations, which was supposed to feed upon human bodies.
jippo	A waistcoat or kind of stays for women.
mufti	Ordinary civilian dress when worn by persons who serve in a uniformed service, such as the military or police.  It originally was used in reference to British naval or military officers, and originated with the British service in India.
blimp	any elderly pompous reactionary.
samaj	A society or congregation; a church or religious body.
haiti	a country on the island of Hispaniola.
title	To call by a title; to name; to entitle.
flesh	The aggregate of the muscles, fat, and other tissues which cover the framework of bones in man and other animals; especially, the muscles.
kieve	See Keeve, n.
topic	A treatise on forms of argument; a system or scheme of forms or commonplaces of argument or oratory; as, the Topics of Aristotle.
bogey	A goblin; a bugbear.
crout	See Sourkrout.
dphil	Doctor of Philosophy, a British doctorate.
dandi	A boatman; an oarsman.
flare	Leaf of lard.
knife	An instrument consisting of a thin blade, usually of steel and having a sharp edge for cutting, fastened to a handle, but of many different forms and names for different uses; as, table knife, drawing knife, putty knife, pallet knife, pocketknife, penknife, chopping knife, etc..
seity	Something peculiar to one's self.
adobo	a Philippine dish of marinated vegetables and meat or fish; served with rice.
bride	A woman newly married, or about to be married.
flame	To burn with a flame or blaze; to burn as gas emitted from bodies in combustion; to blaze.
obole	A weight of twelve grains; or, according to some, of ten grains, or half a scruple.
scope	That at which one aims; the thing or end to which the mind directs its view; that which is purposed to be reached or accomplished; hence, ultimate design, aim, or purpose; intention; drift; object.
space	To arrange or adjust the spaces in or between; as, to space words, lines, or letters.
guise	Customary way of speaking or acting; custom; fashion; manner; behavior; mien; mode; practice; -- often used formerly in such phrases as: at his own guise; that is, in his own fashion, to suit himself.
pecco	See Pekoe.
plyer	See Pliers.
